col_num code v[vesc] alpha[deg] mtot[MSUN] gamma[1] wft[%] wfp[%] Nbig[1] mfr[mtot] r1[AU] phi_r1[rad] th_r1[rad] v1[AU/yr/2pi] phi_v1[rad] th_v1[rad] m1[mtot] wf1[1] r2[AU] phi_r2[rad] th_r2[rad] v2[AU/yr/2pi] phi_v2[rad] th_v2[rad] m2[mtot] w1[wtot]
58 010201 1.0 20.0 9.4379095486e-10 1.0 10.0 20.0 1 0.000681143187098 5.25137650628e-08 1.04360935199 1.04670357219 1.72491438446e-05 1.26202892793 0.699769579584 0.999318856813 0.995457331715 6.72811771682e-05 -0.969522122563 2.0231632431 0.00885062982835 -0.987339084252 2.00625331534 2.19888792949e-05 0.000146598490305 
59 010210 1.0 20.0 9.4379095486e-10 1.0 20.0 10.0 1 0.000681143187098 5.25137650628e-08 1.04360935199 1.04670357219 1.72491438446e-05 1.26202892793 0.699769579584 0.999318856813 0.995457331715 6.72811771682e-05 -0.969522122563 2.0231632431 0.00885062982835 -0.987339084252 2.00625331534 2.19888792949e-05 0.000146598490305 
60 010211 1.0 20.0 9.4379095486e-10 1.0 20.0 20.0 1 0.000610643045924 1.84034604299e-08 1.63014481149 1.92580048616 1.12399384924e-05 1.9102954841 2.17903056729 0.999389356954 0.996952011663 5.70733574246e-05 -0.199651750593 0.735325868648 0.00686213817875 -0.163927195536 0.763795089188 2.35020989858e-05 0.00011726213373 
61 011000 1.0 20.0 7.390278043e-08 0.1 10.0 10.0 1 0.00160654241374 1.9460350522e-07 0.360184657744 1.75357396592 8.34260780024e-05 -2.02542679404 1.52454579828 0.998393457586 0.983931662273 0.000273552869798 -1.20359580549 1.66786796965 0.0328382634736 -1.34060230275 1.67495730108 1.98374015353e-05 0.000198461239068 
62 011001 1.0 20.0 7.390278043e-08 0.1 10.0 20.0 1 0.00166888318774 3.09961989445e-07 0.49651030832 1.73843632047 8.48133854622e-05 -1.30864370346 1.80059010082 0.998331116812 0.985145960209 0.000315513497578 -1.303834583 1.788830508 0.0414692178943 -1.41127837329 1.78449276167 1.99384795804e-05 0.000177459023602 
63 011010 1.0 20.0 7.390278043e-08 0.1 20.0 10.0 1 0.00053464880214 3.77599038814e-08 0.95642181301 1.89443539512 4.52848069522e-05 -1.86286094597 1.34534438044 0.999465351198 0.997200919249 0.000284417615171 -0.62066514976 0.866195518387 0.0345237480385 -0.752087574787 0.878804422076 2.25006845695e-05 0.000117733313221 
64 011011 1.0 20.0 7.390278043e-08 0.1 20.0 20.0 1 0.000560786542211 8.46644660363e-08 0.0652045790643 1.09517534671 7.40771226343e-05 -1.58707147846 1.31286911431 0.999439213458 0.997157911465 0.000271389517644 -0.830866871907 1.99844630818 0.0327330949276 -0.965425041758 1.98132105959 2.26488633367e-05 0.000114782168172 
65 011100 1.0 20.0 7.390278043e-08 0.5 10.0 10.0 1 0.00227793373135 3.14023736489e-07 0.99571673962 1.95160341322 7.56240095911e-05 0.47531606009 1.84596340451 0.997722066269 0.977170957131 0.000243480529065 2.46676107127 0.41611811038 0.0275708677038 2.60845972586 0.43604826698 3.90962044855e-05 0.000391824332664 
66 011101 1.0 20.0 7.390278043e-08 0.5 10.0 20.0 1 0.00211927705022 7.30923943467e-07 0.756622015076 1.7213138185 0.000176453777066 0.447745621436 1.72268373433 0.99788072295 0.983873684728 0.000277850739207 -1.08928354152 1.07607785419 0.0358668090153 -1.15526639567 1.0974047561 2.09315903629e-05 0.000159299639894 
67 011110 1.0 20.0 7.390278043e-08 0.5 20.0 10.0 1 0.000801118156405 1.2943384048e-07 2.25008731598 1.96740774975 2.13367537619e-05 1.56009912233 2.83536801897 0.999198881844 0.995213521167 0.000241587674821 1.37840160113 0.183044956324 0.0275345222116 1.51312302993 0.145091668725 2.18028772073e-05 0.000130280144265 
